cal_yr_mo_nbr,brnd_cd,sales_exec
201511,bdl,0
201511,bws,0
201512,bly,0
201512,bws,0
201512,mul,0
201512,swa,0
201512,abn,1
201512,sta,1
201512,bud,1
201512,blp,0
201512,bla,0
201512,bdl,0
201601,abn,1
201601,bla,0
201601,bly,0
201601,bud,1
201601,sta,1
201601,mul,0
201601,bws,0
201601,blp,0
201601,swa,0
201601,bdl,0
201602,bud,1
201602,blr,1
201602,abn,1
201602,chl,0
201602,gpx,0
201602,bsh,1
201602,bws,0
201602,idb,0
201602,blp,0
201602,est,1
201603,mul,0
201603,swa,0
201603,blp,0
201603,bla,0
201603,bud,1
201603,bly,0
201603,bdl,0
201603,abn,1
201603,sta,1
201603,bws,0
201604,sta,1
201604,bud,1
201604,bws,0
201604,bla,0
201604,bly,0
201604,swa,0
201604,mul,0
201604,bdl,0
201604,abn,1
201604,blp,0
201605,sta,1
201605,swa,0
201605,bws,0
201605,abn,1
201605,bla,0
201605,bdl,0
201605,blp,0
201605,bly,0
201605,mul,0
201605,bud,1
201606,gpx,0
201606,bll,1
201606,ibh,1
201606,bdl,0
201606,ntd,1
201606,bsh,1
201606,abn,1
201606,swa,0
201606,bws,0
201606,blr,1
201607,bhl,1
201607,blp,0
201607,abn,1
201607,sam,0
201607,chl,0
201607,hgh,1
201607,rck,1
201607,bws,0
201607,est,1
201607,nti,0
201608,abn,1
201608,bla,0
201608,bdl,0
201608,bly,0
201608,swa,0
201608,sta,1
201608,mul,0
201608,blp,0
201608,bud,1
201608,bws,0
201609,hgh,1
201609,gpx,0
201609,bkx,0
201609,ibh,1
201609,bsh,1
201609,bws,0
201609,ntd,1
201609,kcm,0
201609,bll,1
201609,chl,0
201610,bdl,0
201610,swa,0
201610,bud,1
201610,idb,0
201610,bsh,1
201610,abn,1
201610,blr,1
201610,rck,1
201610,hgh,1
201610,nti,0
201611,bdl,0
201611,abn,1
201611,swa,0
201611,blp,0
201611,bly,0
201611,bud,1
201611,sta,1
201611,mul,0
201611,bla,0
201611,bws,0
201612,kcm,0
201612,hgh,1
201612,bud,1
201612,bdl,0
201612,bsh,1
201612,ntd,1
201612,gpx,0
201612,bly,0
201612,bhl,1
201612,est,1
201701,gpx,0
201701,nti,0
201701,sam,0
201701,mul,0
201701,ibh,1
201701,sta,1
201701,swa,0
201701,bws,0
201701,blp,0
201701,bly,0
201702,hgh,1
201702,nti,0
201702,rck,1
201702,ibh,1
201702,kcm,0
201702,swa,0
201702,blr,1
201702,sam,0
201702,mgl,1
201702,bud,1
201703,bws,0
201703,bla,0
201703,bsh,1
201703,bll,1
201703,gpx,0
201703,ntd,1
201703,abn,1
201703,bly,0
201703,swa,0
201703,bsf,1
201704,swa,0
201704,bud,1
201704,bws,0
201704,blp,0
201704,abn,1
201704,bdl,0
201704,mul,0
201704,bly,0
201704,sta,1
201704,bla,0
201705,sta,1
201705,bud,1
201705,blr,1
201705,bsf,1
201705,mul,0
201705,nti,0
201705,blp,0
201705,kcm,0
201705,chl,0
201705,abn,1
201706,sam,0
201706,bll,1
201706,rck,1
201706,bud,1
201706,bws,0
201706,est,1
201706,kcm,0
201706,idb,0
201706,bkx,0
201706,swa,0
201707,bsf,1
201707,bhl,1
201707,hgh,1
201707,gpx,0
201707,bkx,0
201707,mul,0
201707,bll,1
201707,sam,0
201707,sta,1
201707,bla,0
201708,blp,0
201708,bud,1
201708,abn,1
201708,swa,0
201708,bdl,0
201708,bla,0
201708,mul,0
201708,sta,1
201708,bws,0
201708,bly,0
201709,bhl,1
201709,mgl,1
201709,sam,0
201709,bll,1
201709,rck,1
201709,sta,1
201709,chl,0
201709,bkx,0
201709,nti,0
201709,bws,0
201710,bla,0
201710,swa,0
201710,abn,1
201710,bly,0
201710,sta,1
201710,bud,1
201710,bws,0
201710,mul,0
201710,blp,0
201710,bdl,0
201711,bws,0
201711,swa,0
201711,sta,1
201711,bly,0
201711,blp,0
201711,mul,0
201711,bud,1
201711,bdl,0
201711,bla,0
201711,abn,1
201712,bdl,0
201712,swa,0
201712,mul,0
201712,sta,1
201712,bla,0
201712,bud,1
201712,blp,0
201712,bly,0
201712,abn,1
201712,bws,0
201801,blp,0
201801,swa,0
201801,bly,0
201801,sta,1
201801,bud,1
201801,abn,1
201801,bws,0
201801,bla,0
201801,mul,0
201801,bdl,0
201802,bla,0
201802,swa,0
201802,mul,0
201802,abn,1
201802,blp,0
201802,bly,0
201802,bws,0
201802,bud,1
201802,bdl,0
201802,sta,1
201803,mul,0
201803,ibh,1
201803,sta,1
201803,gpx,0
201803,sam,0
201803,blp,0
201803,swa,0
201803,bws,0
201803,bly,0
201803,nti,0
201804,swa,0
201804,sta,1
201804,ibh,1
201804,nti,0
201804,gpx,0
201804,mul,0
201804,blp,0
201804,bly,0
201804,bws,0
201804,sam,0
201805,abn,1
201805,bla,0
201805,sta,1
201805,mul,0
201805,bws,0
201805,swa,0
201805,bly,0
201805,bud,1
201805,blp,0
201805,bdl,0
201806,bud,1
201806,bly,0
201806,bhl,1
201806,gpx,0
201806,bsh,1
201806,ntd,1
201806,kcm,0
201806,est,1
201806,bdl,0
201806,hgh,1
201807,swa,0
201807,bdl,0
201807,mul,0
201807,bws,0
201807,bly,0
201807,bud,1
201807,blp,0
201807,bla,0
201807,abn,1
201807,sta,1
201808,bly,0
201808,sta,1
201808,abn,1
201808,bdl,0
201808,bla,0
201808,blp,0
201808,bud,1
201808,bws,0
201808,swa,0
201808,mul,0
201809,blp,0
201809,mul,0
201809,bly,0
201809,sta,1
201809,bdl,0
201809,bud,1
201809,swa,0
201809,bws,0
201809,abn,1
201809,bla,0
201810,bdl,0
201810,blp,0
201810,bud,1
201810,mul,0
201810,swa,0
201810,bly,0
201810,sta,1
201810,bla,0
201810,abn,1
201810,bws,0
201811,bdl,0
201811,abn,1
201811,bla,0
201811,mul,0
201811,sta,1
201811,blp,0
201811,bud,1
201811,bws,0
201811,swa,0
201811,bly,0
201812,bsf,1
201812,bsh,1
201812,bll,1
201812,chl,0
201812,ntd,1
201812,bla,0
201812,hgh,1
201812,kcm,0
201812,nti,0
201812,bly,0
