V1,V2,Correlation,Desc_V1,Desc_V2
Sports_Event_Attend_1,CYB17MED,0.644405059912847,,Housing Units Current Year Estimates A (2018) Housing Value Median Housing Value
Sports_Event_Attend_1,Sports_Event_Listen_1,0.6730390440967383,,
Sports_Event_Attend_1,Expenditure_on_Beverage_1,0.6145527217971125,,
Sports_Event_Attend_2,XCYA10V001,-0.6068153674256601,,Basic Variables Current Year Estimates A (2018)  By Percent Language Spoken at Home (Pop 5 Plus) % Speak only English at Home
Expenditure_on_Beverage_1,CYEC17V001,0.7495984756201076,,Basic Variables Current Year Estimates A (2018) Income Household Median Household Income
Expenditure_on_Beverage_1,CYB17MED,0.6761461165885212,,Housing Units Current Year Estimates A (2018) Housing Value Median Housing Value
Expenditure_on_Beverage_1,Sports_Event_Attend_1,0.6145527217971125,,
Perc_Labor_Force_1,Food_1,0.6414488928096392,,
Perc_Tenure_1,XCYA12V009,-0.7116397285618024,,Basic Variables Current Year Estimates A (2018)  By Percent Marital Status (Pop 15 Plus) Male % Never Married
Income_Race_Ethnicity_1,CYEC17V001,0.7696960747743008,,Basic Variables Current Year Estimates A (2018) Income Household Median Household Income
Food_1,SMFAM007P_PCT,0.7360154965949106,,Simmons Product Profiles Current Year Estimates (2017) Lifestyle (Demographics) Adult % % Number Of Children None
Food_1,Gender_1,-0.7797086144744821,,
Food_1,Sports_Event_Listen_1,0.6567031135188237,,
Food_1,Perc_Labor_Force_1,0.6414488928096392,,
